,open,high,low,close,volume,value
2023-05-12 17:54:00,26427.84957112,26437.90009387,26427.84957111,26437.90009387,0.01917427,506.74104246
2023-05-12 18:03:00,26437.90009386,26437.90009387,26172.22019389,26172.22019389,0.03603562,950.04932238
2023-05-12 18:06:00,26172.21999387,26172.21999387,26162.27087115,26162.27087115,0.09810059,2566.61721025
2023-05-12 18:09:00,26192.11883937,26197.09360075,26192.11883937,26197.09360075,0.03431011,898.81001015
2023-05-12 18:12:00,26432.87483249,26676.48,26202.06836211,26202.06836211,0.21193656,5590.82108668
2023-05-12 18:15:00,26478.10218487,26958.28443398,26478.10218487,26676.48,0.10587685,2842.12209217
2023-05-12 18:21:00,26442.92535525,26676.48,26442.92535525,26676.48,0.03058439,811.60177452
2023-05-12 18:24:00,26664.36976,26664.36976,26664.36976,26664.36976,0.00035115,9.36319344
2023-05-12 18:27:00,26664.36976,26664.36976,26664.36976,26664.36976,0.00016059,4.28203114
2023-05-12 18:36:00,26664.36975999,26664.36976,26664.36975999,26664.36975999,0.06589266,1756.98625071
2023-05-12 18:39:00,26222.9544,26222.9544,26222.9544,26222.9544,0.00723207,189.64624183
2023-05-12 19:12:00,26704.30559997,26740.89656,26704.30559997,26704.30559998,0.0024102,64.41880361
2023-05-12 19:15:00,26351.2224,26351.2224,26351.2224,26351.2224,0.0377129,993.78101525
2023-05-12 19:48:00,26513.2790145,26513.2790145,26513.2790145,26513.2790145,1.067e-05,0.28289669
2023-05-12 20:06:00,26508.25375311,26726.09799999,26508.25375311,26508.25375311,0.02571315,682.77830004
2023-05-12 20:24:00,26276.68978275,26726.09799999,26276.68978275,26726.09799999,0.01351849,358.32670527
2023-05-12 20:30:00,26483.12744625,26483.12744625,26483.12744625,26483.12744625,0.00281229,74.47823449
2023-05-12 20:39:00,26270.0,26270.0,26270.0,26270.0,0.00197109,51.7805343
2023-05-12 20:42:00,26699.99999999,26700.0,26699.99999999,26699.99999999,0.00271676,72.537492
2023-05-12 20:54:00,26478.10218487,26699.99999999,26270.0,26270.0,0.00030209,8.00377857
2023-05-12 21:03:00,26270.0,26270.0,26270.0,26270.0,0.03830708,1006.3269916
2023-05-12 21:15:00,26270.0,26270.0,26270.0,26270.0,0.01169337,307.1848299
2023-05-12 21:21:00,26473.07692349,26699.99979996,26473.07692349,26699.99979996,0.01981763,528.44285479
2023-05-12 21:30:00,26261.76549862,26261.76549862,26261.76549862,26261.76549862,0.05482935,1439.91553214
2023-05-12 21:42:00,26316.48787375,26316.48787375,26316.48787375,26316.48787375,0.00014415,3.79352173
2023-05-12 21:51:00,26548.45584411,26563.53162825,26548.45584411,26548.45584411,0.01986724,527.70160938
2023-05-12 21:54:00,26548.45584411,26548.45584411,26548.45584411,26548.45584411,0.0009595,25.47324338
2023-05-12 21:57:00,26291.61846704,26291.61846704,26271.71502136,26271.71502136,0.03187492,837.49342253
2023-05-12 22:00:00,26286.6399055,26553.4811055,26286.6399055,26553.4811055,0.03972175,1052.43429481
2023-05-12 22:09:00,26553.4811055,26553.4811055,26553.4811055,26553.4811055,0.05395653,1432.73369987
2023-05-12 22:24:00,26553.4811055,26553.4811055,26553.4811055,26553.4811055,0.001692,44.92849003
2023-05-12 22:36:00,26553.4811055,26553.4811055,26281.66454412,26281.66454412,0.01090219,289.46267503
2023-05-12 22:54:00,26356.28596474,26699.99999995,26356.28596474,26699.99999995,7.54e-05,2.00010511
2023-05-12 23:15:00,26699.99999995,26699.99999995,26699.99999995,26699.99999995,0.00117656,31.414152
2023-05-12 23:18:00,26699.99999995,26699.99999995,26699.99999995,26699.99999995,0.01474422,393.670674
2023-05-12 23:21:00,26699.99999995,26699.99999995,26699.99999995,26699.99999995,0.00829915,221.587305
2023-05-12 23:39:00,26699.99999996,26699.99999996,26392.87500001,26392.87500001,0.00043652,11.5880509
2023-05-12 23:42:00,26891.17098145,26891.43989585,26699.99999996,26699.99999996,0.07592962,2041.52469752
2023-05-12 23:57:00,26357.0,26357.0,26357.0,26357.0,0.00378459,99.75043863
2023-05-13 00:03:00,26323.51800001,26323.51800001,26216.99264624,26323.51800001,0.0139712,367.20642141
2023-05-13 00:36:00,26645.61796,26645.61796,26645.61796,26645.61796,0.00076636,20.42013578
2023-05-13 01:12:00,26442.92535525,26442.92535525,26442.92535525,26442.92535525,2e-08,0.00052886
2023-05-13 01:45:00,26246.56200001,26246.56200001,26246.56200001,26246.56200001,0.00012125,3.18239564
2023-05-13 04:09:00,26357.49591187,26357.49591187,26357.49591187,26357.49591187,0.0001133,2.98630429
2023-05-13 04:24:00,26246.562,26246.562,26037.946,26037.946,0.04747265,1239.52757509
2023-05-13 04:54:00,26296.24,26296.24,26296.24,26296.24,3.41e-06,0.08967018
2023-05-13 05:45:00,26498.20323036,26543.43058275,26498.20323036,26498.20323036,0.05626674,1493.25675717
2023-05-13 06:33:00,26609.99879487,26609.99879487,26609.99879487,26609.99879487,2.02e-06,0.0537522
2023-05-13 06:36:00,26834.89574249,27099.1026,26834.89574249,26834.89574249,0.20045856,5418.52703351
2023-05-13 07:00:00,26890.17361762,26929.85932838,26890.17361762,26910.27466312,0.05598292,1506.43858416
2023-05-13 07:24:00,26654.77184725,26654.77184725,26654.77184725,26654.77184725,0.02998396,799.21561288
2023-05-13 07:27:00,26920.32518587,26920.32518587,26920.32518586,26920.32518586,0.02954012,795.22963644
2023-05-13 07:39:00,26605.0240335,26880.12309487,26605.0240335,26605.0240335,0.00876842,234.08659034
2023-05-13 07:42:00,26875.0978335,26875.0978335,26875.0978335,26875.0978335,0.00286506,76.9987678
2023-05-13 07:45:00,26590.09974937,26865.04731075,26590.09974937,26865.04731075,0.00568665,151.98438003
